"","X","seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_version","gene_name","gene_source","gene_biotype","transcript_id","transcript_name","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","tag"
"1445",1454,"X",12678832,12689279,10448,"+","WormBase","gene",NA,NA,"WBGene00000082",1,"adt-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1446",1455,"X",12762078,12765898,3821,"+","WormBase","gene",NA,NA,"WBGene00009057",1,"cept-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1447",1456,"X",12766818,12769797,2980,"-","WormBase","gene",NA,NA,"WBGene00011937",1,"ilc-17.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1448",1457,"X",12782394,12787147,4754,"+","WormBase","gene",NA,NA,"WBGene00011938",1,"alh-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1449",1458,"X",12795201,12813639,18439,"-","WormBase","gene",NA,NA,"WBGene00001560",1,"gei-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1450",1459,"X",12843311,12845387,2077,"+","WormBase","gene",NA,NA,"WBGene00008260",1,"C52G5.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1451",1460,"X",12930261,12932283,2023,"+","WormBase","gene",NA,NA,"WBGene00007933",1,"C34E7.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1452",1461,"X",12932205,12934978,2774,"-","WormBase","gene",NA,NA,"WBGene00007934",1,"C34E7.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1453",1462,"X",12941442,12943266,1825,"-","WormBase","gene",NA,NA,"WBGene00007343",1,"C05E7.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1454",1463,"X",12965463,12968974,3512,"+","WormBase","gene",NA,NA,"WBGene00007346",1,"frpr-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1455",1464,"X",12977074,12979929,2856,"+","WormBase","gene",NA,NA,"WBGene00008693",1,"F11C1.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1456",1465,"X",12981775,12985868,4094,"+","WormBase","gene",NA,NA,"WBGene00008692",1,"scav-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1457",1466,"X",12985790,12987219,1430,"-","WormBase","gene",NA,NA,"WBGene00008691",1,"mff-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1458",1467,"X",13018393,13032710,14318,"-","WormBase","gene",NA,NA,"WBGene00008278",1,"npr-10","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1459",1468,"X",13063535,13066944,3410,"+","WormBase","gene",NA,NA,"WBGene00010522",1,"K03A11.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1460",1469,"X",13066974,13071220,4247,"-","WormBase","gene",NA,NA,"WBGene00010520",1,"cpx-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1461",1470,"X",13105241,13108543,3303,"+","WormBase","gene",NA,NA,"WBGene00008925",1,"F17H10.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1462",1471,"X",13113772,13116390,2619,"+","WormBase","gene",NA,NA,"WBGene00008926",1,"F17H10.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1463",1472,"X",13116349,13122291,5943,"-","WormBase","gene",NA,NA,"WBGene00008927",1,"snx-17","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1464",1473,"X",13130249,13134199,3951,"+","WormBase","gene",NA,NA,"WBGene00008598",1,"spin-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1465",1474,"X",13152820,13170075,17256,"-","WormBase","gene",NA,NA,"WBGene00008601",1,"mob-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1466",1475,"X",13182114,13189961,7848,"-","WormBase","gene",NA,NA,"WBGene00009844",1,"cwp-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1467",1476,"X",13191212,13194390,3179,"+","WormBase","gene",NA,NA,"WBGene00001668",1,"gpa-6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1468",1477,"X",13201770,13216729,14960,"+","WormBase","gene",NA,NA,"WBGene00006749",1,"unc-9","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1469",1478,"X",13217102,13219017,1916,"+","WormBase","gene",NA,NA,"WBGene00011255",1,"R12H7.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1470",1479,"X",13251964,13256284,4321,"+","WormBase","gene",NA,NA,"WBGene00003626",1,"nhr-32","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1471",1480,"X",13310227,13311755,1529,"-","WormBase","gene",NA,NA,"WBGene00009796",1,"F46G10.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1472",1481,"X",13334046,13336810,2765,"+","WormBase","gene",NA,NA,"WBGene00009798",1,"F46G10.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1473",1482,"X",13349639,13350804,1166,"-","WormBase","gene",NA,NA,"WBGene00003511",1,"mxl-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1474",1483,"X",13361201,13362586,1386,"-","WormBase","gene",NA,NA,"WBGene00304787",1,"C49F8.15","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1475",1484,"X",13391949,13395071,3123,"-","WormBase","gene",NA,NA,"WBGene00008518",1,"irld-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1476",1485,"X",13402083,13406412,4330,"+","WormBase","gene",NA,NA,"WBGene00008515",1,"F02C12.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1477",1486,"X",13469455,13470409,955,"+","WormBase","gene",NA,NA,"WBGene00000757",1,"col-184","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1478",1487,"X",13472155,13475926,3772,"+","WormBase","gene",NA,NA,"WBGene00006610",1,"tre-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1479",1488,"X",13487552,13500668,13117,"-","WormBase","gene",NA,NA,"WBGene00004719",1,"sad-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1480",1489,"X",13507533,13510120,2588,"+","WormBase","gene",NA,NA,"WBGene00010368",1,"H06A10.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1481",1490,"X",13519663,13521518,1856,"+","WormBase","gene",NA,NA,"WBGene00008939",1,"F18H3.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1482",1491,"X",13532853,13536459,3607,"+","WormBase","gene",NA,NA,"WBGene00000051",1,"acr-12","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1483",1492,"X",13542574,13544599,2026,"+","WormBase","gene",NA,NA,"WBGene00000282",1,"cah-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1484",1493,"X",13552339,13556166,3828,"-","WormBase","gene",NA,NA,"WBGene00010970",1,"glb-20","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1485",1494,"X",13594121,13596068,1948,"-","WormBase","gene",NA,NA,"WBGene00010028",1,"F54B11.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1486",1495,"X",13619938,13621728,1791,"-","WormBase","gene",NA,NA,"WBGene00012439",1,"Y12A6A.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1487",1496,"X",13642313,13646898,4586,"-","WormBase","gene",NA,NA,"WBGene00000048",1,"acr-9","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1488",1497,"X",13660506,13662980,2475,"+","WormBase","gene",NA,NA,"WBGene00007285",1,"C04A11.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1489",1498,"X",13665958,13668828,2871,"-","WormBase","gene",NA,NA,"WBGene00007286",1,"C04A11.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1490",1499,"X",13687955,13695801,7847,"+","WormBase","gene",NA,NA,"WBGene00000074",1,"adm-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1491",1500,"X",13708619,13712009,3391,"-","WormBase","gene",NA,NA,"WBGene00010505",1,"K02D3.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1492",1501,"X",13714157,13716327,2171,"+","WormBase","gene",NA,NA,"WBGene00010773",1,"K11E4.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1493",1502,"X",13727293,13734407,7115,"+","WormBase","gene",NA,NA,"WBGene00010776",1,"pix-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1494",1503,"X",13755769,13759391,3623,"+","WormBase","gene",NA,NA,"WBGene00010115",1,"aakb-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1495",1504,"X",13760237,13763998,3762,"+","WormBase","gene",NA,NA,"WBGene00010116",1,"cest-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1496",1505,"X",13765359,13770558,5200,"-","WormBase","gene",NA,NA,"WBGene00010117",1,"nkb-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1497",1506,"X",13798210,13809873,11664,"-","WormBase","gene",NA,NA,"WBGene00014215",1,"obr-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1498",1507,"X",13817500,13823582,6083,"-","WormBase","gene",NA,NA,"WBGene00006676",1,"twk-23","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1499",1508,"X",13861277,13864292,3016,"-","WormBase","gene",NA,NA,"WBGene00010835",1,"M03B6.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1500",1509,"X",13865033,13882739,17707,"-","WormBase","gene",NA,NA,"WBGene00011904",1,"hlb-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1501",1510,"X",13908371,13909950,1580,"-","WormBase","gene",NA,NA,"WBGene00012514",1,"Y26E6A.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1502",1511,"X",13934874,13941216,6343,"+","WormBase","gene",NA,NA,"WBGene00001251",1,"elt-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1503",1512,"X",13960149,13962830,2682,"+","WormBase","gene",NA,NA,"WBGene00006372",1,"syx-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1504",1513,"X",14001924,14003080,1157,"+","WormBase","gene",NA,NA,"WBGene00007848",1,"cytb-5.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1505",1514,"X",14003020,14012517,9498,"-","WormBase","gene",NA,NA,"WBGene00007849",1,"tbc-19","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1506",1515,"X",14020590,14022394,1805,"+","WormBase","gene",NA,NA,"WBGene00007295",1,"C04C11.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1507",1516,"X",14049535,14063930,14396,"+","WormBase","gene",NA,NA,"WBGene00001116",1,"dyc-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1508",1517,"X",14064313,14067984,3672,"-","WormBase","gene",NA,NA,"WBGene00007903",1,"lgc-21","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1509",1518,"X",14071162,14076298,5137,"+","WormBase","gene",NA,NA,"WBGene00007904",1,"C33G3.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1510",1519,"X",14170730,14174063,3334,"-","WormBase","gene",NA,NA,"WBGene00007993",1,"idhb-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1511",1520,"X",14268081,14277082,9002,"+","WormBase","gene",NA,NA,"WBGene00000952",1,"del-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1512",1521,"X",14307863,14311683,3821,"-","WormBase","gene",NA,NA,"WBGene00007529",1,"C11H1.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1513",1522,"X",14318206,14320398,2193,"-","WormBase","gene",NA,NA,"WBGene00023500",1,"C11H1.9","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1514",1523,"X",14332738,14340481,7744,"-","WormBase","gene",NA,NA,"WBGene00004764",1,"sel-7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1515",1525,"X",14611374,14624863,13490,"+","WormBase","gene",NA,NA,"WBGene00004313",1,"rbc-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1516",1526,"X",14654968,14662865,7898,"+","WormBase","gene",NA,NA,"WBGene00007750",1,"syg-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1517",1527,"X",14684877,14688322,3446,"+","WormBase","gene",NA,NA,"WBGene00000822",1,"csq-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1518",1528,"X",14703700,14706861,3162,"-","WormBase","gene",NA,NA,"WBGene00009574",1,"F40E10.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1519",1529,"X",14711579,14718787,7209,"+","WormBase","gene",NA,NA,"WBGene00006432",1,"atrn-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1520",1530,"X",14815798,14818514,2717,"-","WormBase","gene",NA,NA,"WBGene00001329",1,"epn-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1521",1531,"X",14881419,14882267,849,"+","WormBase","gene",NA,NA,"WBGene00001451",1,"flp-8","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1522",1532,"X",14888488,14894326,5839,"+","WormBase","gene",NA,NA,"WBGene00000902",1,"daf-6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1523",1533,"X",14895145,14898449,3305,"+","WormBase","gene",NA,NA,"WBGene00003517",1,"nac-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1524",1534,"X",14938502,14946317,7816,"-","WormBase","gene",NA,NA,"WBGene00003411",1,"mrp-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1525",1535,"X",14968900,14970271,1372,"-","WormBase","gene",NA,NA,"WBGene00008973",1,"flwr-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1526",1536,"X",14970751,14974779,4029,"+","WormBase","gene",NA,NA,"WBGene00008974",1,"tbc-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1527",1537,"X",15036710,15040602,3893,"-","WormBase","gene",NA,NA,"WBGene00007666",1,"C18B12.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1528",1538,"X",15095343,15097954,2612,"-","WormBase","gene",NA,NA,"WBGene00008607",1,"F09B12.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1529",1539,"X",15101786,15107797,6012,"-","WormBase","gene",NA,NA,"WBGene00008605",1,"mlt-9","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1530",1540,"X",15120846,15147740,26895,"-","WormBase","gene",NA,NA,"WBGene00006747",1,"unc-7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1531",1541,"X",15168724,15173636,4913,"+","WormBase","gene",NA,NA,"WBGene00003840",1,"ocr-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1532",1542,"X",15190123,15193073,2951,"+","WormBase","gene",NA,NA,"WBGene00011681",1,"T10B10.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1533",1543,"X",15195883,15199152,3270,"-","WormBase","gene",NA,NA,"WBGene00011682",1,"snt-7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1534",1544,"X",15209289,15213259,3971,"-","WormBase","gene",NA,NA,"WBGene00010356",1,"famk-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1535",1545,"X",15234690,15246399,11710,"-","WormBase","gene",NA,NA,"WBGene00009552",1,"piki-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1536",1546,"X",15262723,15267987,5265,"+","WormBase","gene",NA,NA,"WBGene00009789",1,"F46F2.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1537",1547,"X",15268602,15277764,9163,"-","WormBase","gene",NA,NA,"WBGene00002203",1,"kin-20","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1538",1548,"X",15286533,15302963,16431,"-","WormBase","gene",NA,NA,"WBGene00004777",1,"ser-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1539",1549,"X",15309369,15314899,5531,"+","WormBase","gene",NA,NA,"WBGene00003681",1,"nhr-91","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1540",1550,"X",15314874,15317246,2373,"-","WormBase","gene",NA,NA,"WBGene00012441",1,"glb-28","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1541",1551,"X",15369974,15377824,7851,"-","WormBase","gene",NA,NA,"WBGene00006462",1,"svh-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1542",1552,"X",15407931,15419298,11368,"+","WormBase","gene",NA,NA,"WBGene00009560",1,"psa-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1543",1553,"X",15409148,15415493,6346,"-","WormBase","gene",NA,NA,"WBGene00004123",1,"pqn-36","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1544",1554,"X",15420971,15425115,4145,"+","WormBase","gene",NA,NA,"WBGene00009561",1,"F39D8.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1545",1555,"X",15425099,15428253,3155,"-","WormBase","gene",NA,NA,"WBGene00003532",1,"nas-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1546",1556,"X",15435665,15440794,5130,"-","WormBase","gene",NA,NA,"WBGene00010983",1,"mocs-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1547",1557,"X",15446722,15450391,3670,"+","WormBase","gene",NA,NA,"WBGene00010985",1,"R03A10.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1548",1558,"X",15466300,15470802,4503,"+","WormBase","gene",NA,NA,"WBGene00010986",1,"sprr-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1549",1559,"X",15470663,15477409,6747,"-","WormBase","gene",NA,NA,"WBGene00001362",1,"exc-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1550",1560,"X",15479017,15485711,6695,"+","WormBase","gene",NA,NA,"WBGene00001556",1,"gcy-36","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1551",1561,"X",15506037,15507880,1844,"-","WormBase","gene",NA,NA,"WBGene00006494",1,"zipt-7.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1552",1562,"X",15510011,15524030,14020,"+","WormBase","gene",NA,NA,"WBGene00001148",1,"eat-20","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1553",1563,"X",15537662,15546712,9051,"+","WormBase","gene",NA,NA,"WBGene00007260",1,"olrn-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1554",1564,"X",15546644,15557949,11306,"-","WormBase","gene",NA,NA,"WBGene00007261",1,"lron-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1555",1565,"X",15577242,15586811,9570,"+","WormBase","gene",NA,NA,"WBGene00010703",1,"K09A9.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1556",1566,"X",15604635,15606635,2001,"-","WormBase","gene",NA,NA,"WBGene00004276",1,"rab-14","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1557",1567,"X",15613797,15616753,2957,"-","WormBase","gene",NA,NA,"WBGene00010725",1,"erv-46","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1558",1568,"X",15620500,15626620,6121,"+","WormBase","gene",NA,NA,"WBGene00010724",1,"K09E9.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1559",1569,"X",15628606,15630440,1835,"-","WormBase","gene",NA,NA,"WBGene00044143",1,"K09E9.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1560",1570,"X",15666761,15672369,5609,"+","WormBase","gene",NA,NA,"WBGene00010329",1,"pcdr-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1561",1571,"X",15672513,15675722,3210,"-","WormBase","gene",NA,NA,"WBGene00010330",1,"F59D12.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1562",1572,"X",15696700,15698062,1363,"+","WormBase","gene",NA,NA,"WBGene00014039",1,"ZK662.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1563",1573,"X",15708213,15716875,8663,"+","WormBase","gene",NA,NA,"WBGene00003638",1,"nhr-48","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1564",1574,"X",15767435,15771493,4059,"-","WormBase","gene",NA,NA,"WBGene00012407",1,"Y7A5A.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1565",1575,"X",15834072,15838546,4475,"-","WormBase","gene",NA,NA,"WBGene00010336",1,"acox-1.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1566",1576,"X",15842356,15847593,5238,"-","WormBase","gene",NA,NA,"WBGene00010338",1,"F59F4.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1567",1577,"X",15849885,15852001,2117,"+","WormBase","gene",NA,NA,"WBGene00010339",1,"acl-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1568",1578,"X",15987966,16006629,18664,"-","WormBase","gene",NA,NA,"WBGene00007486",1,"C09G1.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1569",1579,"X",16013062,16016981,3920,"-","WormBase","gene",NA,NA,"WBGene00044150",1,"VB0395L.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1570",1580,"X",16030806,16034814,4009,"+","WormBase","gene",NA,NA,"WBGene00007174",1,"mboa-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1571",1581,"X",16035036,16040257,5222,"-","WormBase","gene",NA,NA,"WBGene00007175",1,"B0395.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1572",1582,"X",16049873,16054646,4774,"+","WormBase","gene",NA,NA,"WBGene00012073",1,"cpd-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1573",1583,"X",16076785,16085215,8431,"-","WormBase","gene",NA,NA,"WBGene00007816",1,"C30F2.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1574",1584,"X",16082347,16085799,3453,"+","WormBase","gene",NA,NA,"WBGene00007817",1,"C30F2.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1575",1585,"X",16094670,16096983,2314,"+","WormBase","gene",NA,NA,"WBGene00007819",1,"C30F2.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1576",1586,"X",16103696,16124006,20311,"+","WormBase","gene",NA,NA,"WBGene00014214",1,"ZK1073.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1577",1587,"X",16123942,16128865,4924,"-","WormBase","gene",NA,NA,"WBGene00014213",1,"ZK1073.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1578",1588,"X",16184369,16185722,1354,"+","WormBase","gene",NA,NA,"WBGene00011227",1,"nlp-67","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1579",1589,"X",16314922,16317729,2808,"-","WormBase","gene",NA,NA,"WBGene00011310",1,"T01B4.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1580",1590,"X",16367293,16373789,6497,"+","WormBase","gene",NA,NA,"WBGene00000035",1,"ace-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1581",1591,"X",16399210,16416840,17631,"-","WormBase","gene",NA,NA,"WBGene00020770",1,"eat-17","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1582",1592,"X",16456927,16471333,14407,"+","WormBase","gene",NA,NA,"WBGene00003555",1,"nas-39","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1583",1593,"X",16487481,16489397,1917,"+","WormBase","gene",NA,NA,"WBGene00000281",1,"cah-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1584",1594,"X",16540674,16551211,10538,"+","WormBase","gene",NA,NA,"WBGene00003883",1,"osm-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1585",1596,"X",16558434,16562575,4142,"+","WormBase","gene",NA,NA,"WBGene00019518",1,"K08B5.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1586",1597,"X",16595238,16602232,6995,"+","WormBase","gene",NA,NA,"WBGene00000401",1,"cdh-9","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1587",1598,"X",16613451,16616871,3421,"+","WormBase","gene",NA,NA,"WBGene00015547",1,"ain-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1588",1599,"X",16621807,16622745,939,"+","WormBase","gene",NA,NA,"WBGene00015546",1,"cpg-19","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1589",1600,"X",16633352,16637632,4281,"+","WormBase","gene",NA,NA,"WBGene00015545",1,"C06G1.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1590",1601,"X",16665093,16674732,9640,"-","WormBase","gene",NA,NA,"WBGene00018374",1,"tag-343","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1591",1602,"X",16711681,16720670,8990,"+","WormBase","gene",NA,NA,"WBGene00020657",1,"lgc-53","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1592",1603,"X",16729559,16744767,15209,"+","WormBase","gene",NA,NA,"WBGene00001837",1,"hda-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1593",1604,"X",16749493,16754574,5082,"-","WormBase","gene",NA,NA,"WBGene00015675",1,"C10E2.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1594",1605,"X",16786438,16787620,1183,"+","WormBase","gene",NA,NA,"WBGene00020143",1,"T01C8.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1595",1606,"X",16796087,16803398,7312,"+","WormBase","gene",NA,NA,"WBGene00020142",1,"aak-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"1596",1607,"X",16803321,16807115,3795,"-","WormBase","gene",NA,NA,"WBGene00003168",1,"mec-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
